query_wid,s1_first,hyb_first,class
W_1409,1,1,R
W_115707,3991,3991,A
W_19417,105,105,A
W_10848,28,14,B_not_promoted
W_11473,147,147,A
W_994,1925,1925,A
W_10847,31,31,A
W_1412,12,16,B_demoted
W_115814,1,1,R
W_58783,657,657,A
W_5440,82,82,A
W_8387,3,1,R
W_115707,18,7,B_not_promoted
W_20122,35,35,A
W_82985,60,60,A
W_9703,2,1,R
W_23116,105,105,A
W_11785,2,1,R
W_22286,8,1,R
W_9132,2,1,R
W_5071,2,1,R
W_10528,3914,3914,A
W_12542,2,1,R
W_12542,1,1,R
W_7279,1,1,R
W_26939,30,22,B_not_promoted
W_9262,597,597,A
W_10852,115,115,A
W_11859,471,471,A
W_10144,1,1,R
W_4843,40,40,A
W_20049,132,132,A
W_623,4,1,R
W_11898,54,54,A
W_73656,302,302,A
W_23116,1401,1401,A
W_226,1,1,R
W_3858,1,1,R
W_14238,19,16,B_not_promoted
W_14238,1,1,R
W_14238,16,24,B_demoted
W_14238,31,31,A
W_14238,53,53,A
W_10141,12,23,B_demoted
W_14238,15,2,B_not_promoted
W_7116,34,34,A
W_14238,8,5,B_not_promoted
W_7084,29,1,R
W_14238,20,13,B_not_promoted
W_1362,2269,2269,A
W_115054,3,1,R
W_5697,3,1,R
W_6939,17,10,B_not_promoted
W_113724,584,584,A
W_5388,21,6,B_not_promoted
W_4468,7,1,R
W_4468,7,1,R
W_4468,4,1,R
W_6403,13,18,B_demoted
W_14354,64,64,A
W_14354,111,111,A
W_1983,24,5,B_not_promoted
W_14354,16,29,B_demoted
W_10581,15,1,R
W_7257,921,921,A
W_21826,40,40,A
W_11817,52,52,A
W_30326,76,76,A
