query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_345137,W_13873,57,0.010510815475118914,0,57,0.01051082,57,0.01051082,57,0.01051082,57,0.01051082,57,0.01051082,57,0.01051082
P_345144,W_10851,20,0.03151591335243747,2,6,0.04589652,2,0.11732509,2,0.11732509,7,0.04589652,1,0.18676954,1,0.18676954
P_345213,W_22451,2,0.06256129106191116,2,21,0.02460647,1,0.15311685,1,0.15311685,20,0.02480488,1,0.18089462,1,0.18089462
P_34522,W_4726,348,0.007263981108881334,0,348,0.00726398,348,0.00726398,348,0.00726398,348,0.00726398,348,0.00726398,348,0.00726398
P_345227,W_2474,10,0.020747629628253276,1,10,0.02074763,22,0.01620218,21,0.01638255,8,0.02283096,20,0.01658096,19,0.01680026
P_345377,W_9644,33,0.009204158015542205,0,33,0.00920416,33,0.00920416,33,0.00920416,33,0.00920416,33,0.00920416,33,0.00920416
P_34540,W_11051,1,0.28694051618983524,5,1,0.30742606,1,0.44782015,1,0.44782015,1,0.30742606,1,0.44782015,1,0.44782015
P_34541,W_4244,41,0.005744009747554774,0,41,0.00574401,41,0.00574401,41,0.00574401,41,0.00574401,41,0.00574401,41,0.00574401
P_3455,W_3447,97,0.012785502207666206,0,97,0.0127855,97,0.0127855,97,0.0127855,97,0.0127855,97,0.0127855,97,0.0127855
P_345538,W_817,4245,0.0007185079432631054,0,4245,0.00071851,4245,0.00071851,4245,0.00071851,4245,0.00071851,4245,0.00071851,4245,0.00071851
P_345637,W_4012,1,0.13604151062302444,3,7,0.07298189,1,0.14035063,1,0.13928225,7,0.07298189,1,0.14967602,1,0.14967602
P_34568,W_34568,34,0.015814045035000744,0,34,0.01581405,34,0.01581405,34,0.01581405,34,0.01581405,34,0.01581405,34,0.01581405
P_345809,W_1478,5,0.023564269344735326,1,3,0.03467538,5,0.02356427,6,0.02078649,3,0.03467538,5,0.02356427,5,0.02356427
P_345810,W_3529,33,0.01870077944658127,0,33,0.01870078,33,0.01870078,33,0.01870078,33,0.01870078,33,0.01870078,33,0.01870078
P_345813,W_5118,31,0.005397824910146092,0,31,0.00539782,31,0.00539782,31,0.00539782,31,0.00539782,31,0.00539782,31,0.00539782
P_346013,W_19985,30,0.016730883746995603,1,3,0.04173088,4,0.03478644,4,0.03478644,4,0.03478644,3,0.04173088,3,0.04173088
P_346027,W_7578,274,0.003124034670146981,0,274,0.00312403,274,0.00312403,274,0.00312403,274,0.00312403,274,0.00312403,274,0.00312403
P_346035,W_383,3,0.03583112855547122,1,26,0.01125848,10,0.01638668,10,0.01638668,26,0.01125848,4,0.02888668,4,0.02888668
P_34604,W_34604,194,0.005544450600031378,0,194,0.00554445,194,0.00554445,194,0.00554445,194,0.00554445,194,0.00554445,194,0.00554445
P_3463,W_3447,1,0.21774654352476652,5,3,0.11289406,2,0.21100051,2,0.21323265,3,0.11540313,1,0.24814947,1,0.3201275
P_346410,W_20960,16,0.010096324020412498,1,22,0.00867587,5,0.02155466,8,0.01530466,21,0.00885624,7,0.01679275,3,0.03266577
P_346474,W_10902,4,0.024497125386167218,1,16,0.00887213,29,0.00653736,29,0.00653736,16,0.00887213,29,0.00653736,28,0.00663998
